run_id,dataset,metric,method_a,method_b,n_pairs,n_differing,mean_a,mean_b,mean_diff,ci_low,ci_high,p_value,p_holm,significant,winner
bench-187f7d53ced2,casehold,recall@10,bm25,dense,3600,925,0.328611,0.369444,-0.040833,-0.057500,-0.024167,1.34268e-06,1.34268e-06,1,dense
bench-187f7d53ced2,casehold,recall@10,bm25,hybrid,3600,526,0.328611,0.415278,-0.086667,-0.098889,-0.074444,3.79915e-42,1.13975e-41,1,hybrid
bench-187f7d53ced2,casehold,recall@10,dense,hybrid,3600,597,0.369444,0.415278,-0.045833,-0.059167,-0.032500,1.44818e-11,2.89637e-11,1,hybrid
bench-187f7d53ced2,casehold,mrr,bm25,dense,3600,1393,0.207814,0.223767,-0.015953,-0.028214,-0.003455,0.0044728,0.0044728,1,dense
bench-187f7d53ced2,casehold,mrr,bm25,hybrid,3600,1128,0.207814,0.250712,-0.042898,-0.051923,-0.033991,1.08437e-25,3.25311e-25,1,hybrid
bench-187f7d53ced2,casehold,mrr,dense,hybrid,3600,1229,0.223767,0.250712,-0.026945,-0.036423,-0.017526,5.17826e-11,1.03565e-10,1,hybrid
bench-187f7d53ced2,casehold,ndcg@10,bm25,dense,3600,1393,0.236507,0.258457,-0.021949,-0.034474,-0.009215,0.00071162,0.00071162,1,dense
bench-187f7d53ced2,casehold,ndcg@10,bm25,hybrid,3600,1128,0.236507,0.289672,-0.053165,-0.061768,-0.044700,1.53826e-32,4.61478e-32,1,hybrid
bench-187f7d53ced2,casehold,ndcg@10,dense,hybrid,3600,1229,0.258457,0.289672,-0.031215,-0.040225,-0.022227,1.97386e-11,3.94772e-11,1,hybrid
bench-187f7d53ced2,cuad,recall@10,bm25,dense,6702,2414,0.585160,0.609361,-0.024201,-0.033762,-0.014919,1.887e-06,3.774e-06,1,dense
bench-187f7d53ced2,cuad,recall@10,bm25,hybrid,6702,1421,0.585160,0.615824,-0.030664,-0.037288,-0.024196,1.35887e-19,4.0766e-19,1,hybrid
bench-187f7d53ced2,cuad,recall@10,dense,hybrid,6702,1561,0.609361,0.615824,-0.006462,-0.013409,0.000674,0.0152246,0.0152246,1,hybrid
bench-187f7d53ced2,cuad,mrr,bm25,dense,6702,3808,0.445244,0.447138,-0.001894,-0.011294,0.007401,0.365519,0.365519,0,
bench-187f7d53ced2,cuad,mrr,bm25,hybrid,6702,2861,0.445244,0.476949,-0.031705,-0.037894,-0.025484,2.1163e-33,6.34889e-33,1,hybrid
bench-187f7d53ced2,cuad,mrr,dense,hybrid,6702,3197,0.447138,0.476949,-0.029811,-0.036521,-0.023093,1.09207e-19,2.18413e-19,1,hybrid
bench-187f7d53ced2,cuad,ndcg@10,bm25,dense,6702,4782,0.438773,0.438134,0.000639,-0.006878,0.008089,0.851612,0.851612,0,
bench-187f7d53ced2,cuad,ndcg@10,bm25,hybrid,6702,3955,0.438773,0.464856,-0.026083,-0.030617,-0.021638,4.39839e-36,1.31952e-35,1,hybrid
bench-187f7d53ced2,cuad,ndcg@10,dense,hybrid,6702,4243,0.438134,0.464856,-0.026722,-0.031721,-0.021731,8.16745e-32,1.63349e-31,1,hybrid
bench-187f7d53ced2,pubmedqa,recall@10,bm25,dense,1000,380,0.734878,0.834059,-0.099181,-0.113401,-0.084433,9.92238e-30,1.98448e-29,1,dense
bench-187f7d53ced2,pubmedqa,recall@10,bm25,hybrid,1000,255,0.734878,0.811828,-0.076950,-0.087753,-0.066427,1.81352e-32,5.44057e-32,1,hybrid
bench-187f7d53ced2,pubmedqa,recall@10,dense,hybrid,1000,234,0.834059,0.811828,0.022231,0.011741,0.032514,0.000117804,0.000117804,1,dense
bench-187f7d53ced2,pubmedqa,mrr,bm25,dense,1000,75,0.956600,0.979850,-0.023250,-0.033700,-0.012833,1.05223e-05,2.10447e-05,1,dense
bench-187f7d53ced2,pubmedqa,mrr,bm25,hybrid,1000,56,0.956600,0.979025,-0.022425,-0.030184,-0.014942,2.30268e-08,6.90804e-08,1,hybrid
bench-187f7d53ced2,pubmedqa,mrr,dense,hybrid,1000,31,0.979850,0.979025,0.000825,-0.005792,0.007558,0.767526,0.767526,0,
bench-187f7d53ced2,pubmedqa,ndcg@10,bm25,dense,1000,651,0.756853,0.842920,-0.086068,-0.097766,-0.073912,5.94701e-43,1.1894e-42,1,dense
bench-187f7d53ced2,pubmedqa,ndcg@10,bm25,hybrid,1000,542,0.756853,0.825289,-0.068437,-0.076069,-0.060855,2.05865e-63,6.17594e-63,1,hybrid
bench-187f7d53ced2,pubmedqa,ndcg@10,dense,hybrid,1000,525,0.842920,0.825289,0.017631,0.009551,0.025493,0.000199497,0.000199497,1,dense
bench-187f7d53ced2,qasper,recall@10,bm25,dense,1309,610,0.587739,0.650855,-0.063116,-0.087755,-0.038691,1.18141e-06,2.36282e-06,1,dense
bench-187f7d53ced2,qasper,recall@10,bm25,hybrid,1309,369,0.587739,0.667131,-0.079392,-0.096024,-0.062045,2.45946e-19,7.37838e-19,1,hybrid
bench-187f7d53ced2,qasper,recall@10,dense,hybrid,1309,376,0.650855,0.667131,-0.016277,-0.033977,0.001623,0.0564793,0.0564793,0,
bench-187f7d53ced2,qasper,mrr,bm25,dense,1309,980,0.376278,0.450453,-0.074175,-0.097649,-0.050946,1.868e-10,3.736e-10,1,dense
bench-187f7d53ced2,qasper,mrr,bm25,hybrid,1309,799,0.376278,0.456104,-0.079826,-0.095625,-0.064291,7.16858e-29,2.15057e-28,1,hybrid
bench-187f7d53ced2,qasper,mrr,dense,hybrid,1309,816,0.450453,0.456104,-0.005650,-0.022794,0.011774,0.116605,0.116605,0,
bench-187f7d53ced2,qasper,ndcg@10,bm25,dense,1309,1091,0.388870,0.449238,-0.060368,-0.079332,-0.041654,8.99145e-11,1.79829e-10,1,dense
bench-187f7d53ced2,qasper,ndcg@10,bm25,hybrid,1309,946,0.388870,0.458683,-0.069813,-0.081251,-0.058310,7.99772e-36,2.39932e-35,1,hybrid
bench-187f7d53ced2,qasper,ndcg@10,dense,hybrid,1309,977,0.449238,0.458683,-0.009444,-0.021915,0.003313,0.0306664,0.0306664,1,hybrid
bench-187f7d53ced2,sciq,recall@10,bm25,dense,884,24,0.973982,0.964932,0.009050,-0.001131,0.020362,0.10247,0.204941,0,
bench-187f7d53ced2,sciq,recall@10,bm25,hybrid,884,7,0.973982,0.977376,-0.003394,-0.009050,0.002262,0.256839,0.256839,0,
bench-187f7d53ced2,sciq,recall@10,dense,hybrid,884,19,0.964932,0.977376,-0.012443,-0.022624,-0.003394,0.0116169,0.0348507,1,hybrid
bench-187f7d53ced2,sciq,mrr,bm25,dense,884,179,0.945164,0.860689,0.084475,0.066457,0.102804,3.22771e-16,9.68312e-16,1,bm25
bench-187f7d53ced2,sciq,mrr,bm25,hybrid,884,100,0.945164,0.916228,0.028936,0.016630,0.041455,4.73267e-06,4.73267e-06,1,bm25
bench-187f7d53ced2,sciq,mrr,dense,hybrid,884,141,0.860689,0.916228,-0.055539,-0.067993,-0.042740,3.63612e-16,9.68312e-16,1,hybrid
bench-187f7d53ced2,sciq,ndcg@10,bm25,dense,884,179,0.952485,0.886700,0.065785,0.050740,0.081117,4.82691e-15,9.65382e-15,1,bm25
bench-187f7d53ced2,sciq,ndcg@10,bm25,hybrid,884,100,0.952485,0.931640,0.020845,0.011186,0.030671,1.11993e-05,1.11993e-05,1,bm25
