run_id,dataset,measure,model_a,model_b,test,n_a,n_b,n_used,mean_a,mean_b,mean_diff,ci_low,ci_high,p_value,p_holm,significant,winner
genall-e11cbda88824,casehold,faithfulness,gemma2,llama3.1,wilcoxon-paired,104,107,94,0.428116,0.422615,0.005501,-0.065424,0.078298,0.926932,1,0,
genall-e11cbda88824,casehold,faithfulness,gemma2,mistral,wilcoxon-paired,104,99,88,0.461959,0.428842,0.033117,-0.041042,0.107171,0.335484,1,0,
genall-e11cbda88824,casehold,faithfulness,gemma2,qwen2.5,wilcoxon-paired,104,105,93,0.444112,0.390688,0.053424,-0.017070,0.121775,0.185711,1,0,
genall-e11cbda88824,casehold,faithfulness,llama3.1,mistral,wilcoxon-paired,107,99,92,0.414799,0.426527,-0.011728,-0.084788,0.064854,0.610989,1,0,
genall-e11cbda88824,casehold,faithfulness,llama3.1,qwen2.5,wilcoxon-paired,107,105,97,0.399579,0.379273,0.020305,-0.044793,0.085324,0.54047,1,0,
genall-e11cbda88824,casehold,faithfulness,mistral,qwen2.5,wilcoxon-paired,99,105,87,0.415025,0.382115,0.032909,-0.038438,0.101077,0.310316,1,0,
genall-e11cbda88824,casehold,hallucination,gemma2,llama3.1,wilcoxon-paired,300,300,300,0.877560,0.898493,-0.020934,-0.058871,0.018243,0.266806,0.533613,0,
genall-e11cbda88824,casehold,hallucination,gemma2,mistral,wilcoxon-paired,300,298,298,0.876738,0.638176,0.238561,0.185062,0.293534,1.84389e-14,9.21944e-14,1,mistral
genall-e11cbda88824,casehold,hallucination,gemma2,qwen2.5,wilcoxon-paired,300,300,300,0.877560,0.859937,0.017623,-0.025434,0.061450,0.319894,0.533613,0,
genall-e11cbda88824,casehold,hallucination,llama3.1,mistral,wilcoxon-paired,300,298,298,0.899490,0.638176,0.261313,0.209259,0.314920,8.83825e-17,5.30295e-16,1,mistral
genall-e11cbda88824,casehold,hallucination,llama3.1,qwen2.5,wilcoxon-paired,300,300,300,0.898493,0.859937,0.038557,-0.002901,0.078393,0.043556,0.130668,0,
genall-e11cbda88824,casehold,hallucination,mistral,qwen2.5,wilcoxon-paired,298,300,298,0.638176,0.858996,-0.220820,-0.277899,-0.165436,1.99446e-12,7.97785e-12,1,mistral
genall-e11cbda88824,cuad,faithfulness,gemma2,llama3.1,wilcoxon-paired,91,86,69,0.272291,0.609662,-0.337371,-0.455648,-0.217666,4.78564e-06,2.87138e-05,1,llama3.1
genall-e11cbda88824,cuad,faithfulness,gemma2,mistral,wilcoxon-paired,91,96,71,0.220825,0.343192,-0.122368,-0.220595,-0.025683,0.0231306,0.0693917,0,
genall-e11cbda88824,cuad,faithfulness,gemma2,qwen2.5,wilcoxon-paired,91,96,74,0.243565,0.290029,-0.046464,-0.137554,0.042598,0.343727,0.687455,0,
genall-e11cbda88824,cuad,faithfulness,llama3.1,mistral,wilcoxon-paired,86,96,68,0.552778,0.321078,0.231699,0.129001,0.335298,0.000148029,0.000592115,1,llama3.1
genall-e11cbda88824,cuad,faithfulness,llama3.1,qwen2.5,wilcoxon-paired,86,96,69,0.567391,0.293654,0.273737,0.158679,0.387989,4.1952e-05,0.00020976,1,llama3.1
genall-e11cbda88824,cuad,faithfulness,mistral,qwen2.5,wilcoxon-paired,96,96,76,0.287281,0.241388,0.045893,-0.041228,0.135751,0.349113,0.687455,0,
genall-e11cbda88824,cuad,hallucination,gemma2,llama3.1,wilcoxon-paired,300,300,300,0.871358,0.881843,-0.010485,-0.041993,0.019706,0.153087,0.612347,0,
genall-e11cbda88824,cuad,hallucination,gemma2,mistral,wilcoxon-paired,300,300,300,0.871358,0.912994,-0.041636,-0.074075,-0.010721,0.268381,0.805144,0,
genall-e11cbda88824,cuad,hallucination,gemma2,qwen2.5,wilcoxon-paired,300,300,300,0.871358,0.892657,-0.021299,-0.053584,0.009979,0.857161,0.857161,0,
genall-e11cbda88824,cuad,hallucination,llama3.1,mistral,wilcoxon-paired,300,300,300,0.881843,0.912994,-0.031151,-0.052394,-0.010544,0.00381434,0.0228861,1,llama3.1
genall-e11cbda88824,cuad,hallucination,llama3.1,qwen2.5,wilcoxon-paired,300,300,300,0.881843,0.892657,-0.010814,-0.032432,0.011380,0.299526,0.805144,0,
genall-e11cbda88824,cuad,hallucination,mistral,qwen2.5,wilcoxon-paired,300,300,300,0.912994,0.892657,0.020337,-0.000337,0.041686,0.0381449,0.190724,0,
genall-e11cbda88824,medqa,faithfulness,gemma2,llama3.1,wilcoxon-paired,68,73,45,0.578222,0.624771,-0.046549,-0.129928,0.036660,0.220686,1,0,
genall-e11cbda88824,medqa,faithfulness,gemma2,mistral,wilcoxon-paired,68,69,46,0.630817,0.590774,0.040043,-0.037628,0.116819,0.222781,1,0,
genall-e11cbda88824,medqa,faithfulness,gemma2,qwen2.5,wilcoxon-paired,68,62,42,0.590999,0.609074,-0.018074,-0.100647,0.067515,0.663422,1,0,
genall-e11cbda88824,medqa,faithfulness,llama3.1,mistral,wilcoxon-paired,73,69,50,0.616762,0.574307,0.042455,-0.061512,0.142871,0.343024,1,0,
genall-e11cbda88824,medqa,faithfulness,llama3.1,qwen2.5,wilcoxon-paired,73,62,42,0.636697,0.649297,-0.012600,-0.108563,0.083508,1,1,0,
genall-e11cbda88824,medqa,faithfulness,mistral,qwen2.5,wilcoxon-paired,69,62,47,0.556586,0.615158,-0.058572,-0.146338,0.031072,0.148452,0.890712,0,
genall-e11cbda88824,medqa,hallucination,gemma2,llama3.1,wilcoxon-paired,300,300,300,0.983778,0.993889,-0.010111,-0.020222,-0.001111,0.0443402,0.177361,0,
genall-e11cbda88824,medqa,hallucination,gemma2,mistral,wilcoxon-paired,300,283,283,0.984570,0.988928,-0.004358,-0.014959,0.005595,0.406584,0.472792,0,
genall-e11cbda88824,medqa,hallucination,gemma2,qwen2.5,wilcoxon-paired,300,300,300,0.983778,0.978056,0.005722,-0.004890,0.016667,0.236396,0.472792,0,
genall-e11cbda88824,medqa,hallucination,llama3.1,mistral,wilcoxon-paired,300,283,283,0.996466,0.988928,0.007538,0.001060,0.015253,0.029472,0.14736,0,
genall-e11cbda88824,medqa,hallucination,llama3.1,qwen2.5,wilcoxon-paired,300,300,300,0.993889,0.978056,0.015833,0.006667,0.026389,0.00212601,0.012756,1,qwen2.5
genall-e11cbda88824,medqa,hallucination,mistral,qwen2.5,wilcoxon-paired,283,300,283,0.988928,0.981154,0.007774,-0.001767,0.018198,0.0659959,0.197988,0,
genall-e11cbda88824,pubmedqa,faithfulness,gemma2,llama3.1,wilcoxon-paired,92,101,82,0.872009,0.818191,0.053818,-0.011586,0.117697,0.123476,0.587923,0,
genall-e11cbda88824,pubmedqa,faithfulness,gemma2,mistral,wilcoxon-paired,92,92,74,0.874389,0.840283,0.034106,-0.039979,0.105872,0.352264,0.587923,0,
genall-e11cbda88824,pubmedqa,faithfulness,gemma2,qwen2.5,wilcoxon-paired,92,99,80,0.855060,0.904866,-0.049807,-0.112129,0.008055,0.117585,0.587923,0,
genall-e11cbda88824,pubmedqa,faithfulness,llama3.1,mistral,wilcoxon-paired,101,92,79,0.802954,0.845118,-0.042164,-0.111469,0.027110,0.193366,0.587923,0,
genall-e11cbda88824,pubmedqa,faithfulness,llama3.1,qwen2.5,wilcoxon-paired,101,99,89,0.797820,0.906247,-0.108427,-0.165210,-0.053838,0.000311561,0.00186937,1,qwen2.5
genall-e11cbda88824,pubmedqa,faithfulness,mistral,qwen2.5,wilcoxon-paired,92,99,78,0.861828,0.899542,-0.037714,-0.091163,0.011998,0.266523,0.587923,0,
genall-e11cbda88824,pubmedqa,hallucination,gemma2,llama3.1,wilcoxon-paired,300,300,300,0.621135,0.821333,-0.200198,-0.250565,-0.150388,3.06949e-13,1.84169e-12,1,gemma2
genall-e11cbda88824,pubmedqa,hallucination,gemma2,mistral,wilcoxon-paired,300,300,300,0.621135,0.756481,-0.135347,-0.191903,-0.078058,5.27959e-06,2.11184e-05,1,gemma2
genall-e11cbda88824,pubmedqa,hallucination,gemma2,qwen2.5,wilcoxon-paired,300,300,300,0.621135,0.723849,-0.102714,-0.149485,-0.056761,1.47165e-05,4.41495e-05,1,gemma2
genall-e11cbda88824,pubmedqa,hallucination,llama3.1,mistral,wilcoxon-paired,300,300,300,0.821333,0.756481,0.064852,0.017407,0.112186,0.00510507,0.0102101,1,mistral
genall-e11cbda88824,pubmedqa,hallucination,llama3.1,qwen2.5,wilcoxon-paired,300,300,300,0.821333,0.723849,0.097484,0.058387,0.134985,5.37249e-07,2.68624e-06,1,qwen2.5
genall-e11cbda88824,pubmedqa,hallucination,mistral,qwen2.5,wilcoxon-paired,300,300,300,0.756481,0.723849,0.032632,-0.010630,0.077760,0.0851199,0.0851199,0,
genall-e11cbda88824,qasper,faithfulness,gemma2,llama3.1,wilcoxon-paired,94,92,77,0.732468,0.853876,-0.121409,-0.221409,-0.025521,0.026368,0.105472,0,
genall-e11cbda88824,qasper,faithfulness,gemma2,mistral,wilcoxon-paired,94,91,73,0.723288,0.887606,-0.164318,-0.261579,-0.073189,0.00177022,0.0106213,1,mistral
